design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.13,0.01,0.10,0.00,0.00,51907,3608,932,2,23685,5058
mult64.r,128,128,44657,605,1.94,0.07,1.84,0.00,0.01,88410,8676,2036,3997,40720,603
mult128.r,256,256,181241,1187,7.41,0.26,6.99,0.02,0.04,367358,31131,7704,13998,167489,1187
hyp,256,128,214335,24801,20.57,0.53,19.89,0.01,0.01,428718,9774,1992,1179,212341,24801
mult256.r,512,512,724133,2377,35.81,1.10,33.88,0.06,0.19,1457726,119208,31086,65440,665965,2376
testcase15.stp,422250,1,762659,38318,6.51,0.76,4.87,0.09,0.31,1538862,247125,54555,41048,685071,38306
netcard,195730,97805,802919,39,14.05,0.38,2.84,0.10,10.02,1606368,405100,97604,155,616048,39
sort1024.r,1024,1024,2773507,2661,67.16,4.82,59.59,0.10,0.04,5552875,11518,10606,5351,2752699,2661
mult512.r,1024,1024,2905935,4961,119.27,4.33,111.54,0.23,0.59,5802775,385508,104603,170190,2733093,4961
sort2048.r,2048,2048,10769494,5528,251.15,18.60,220.57,0.40,0.34,21538988,83437,83436,83436,10602622,5459
mult1024.r,2048,2048,11695025,9917,533.43,18.47,499.22,1.12,3.68,23134218,2264507,533876,1066621,10649104,9915
sixteen,117,50,16216836,140,779.64,21.29,186.80,3.30,549.69,33427979,7068589,994562,71003,13474430,118
twenty,137,60,20732893,162,1053.29,26.27,235.79,4.70,762.56,42796481,10740924,1330536,81433,17027031,117
twentythree,153,68,23339737,176,1288.88,30.35,268.74,5.75,957.18,48216474,12899858,1537041,88947,19069737,131
sort4096.r,4096,4096,41920515,13924,2107.66,115.36,1943.45,1.46,0.40,83841030,167690,83845,83845,41752825,13924
