design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.22,0.05,0.15,0.00,0.01,54184,8762,2926,1810,21691,5058
mult64.r,128,128,44657,605,0.42,0.08,0.30,0.01,0.01,89891,9510,3332,17733,37000,607
mult128.r,256,256,181241,1187,1.50,0.33,1.01,0.02,0.05,367081,34567,13329,53029,150574,1188
hyp,256,128,214335,24801,1.42,0.32,0.95,0.01,0.02,430979,17718,5028,9859,209285,24801
mult256.r,512,512,724133,2377,6.11,1.30,4.01,0.07,0.21,1454459,120644,48056,149027,613914,2377
testcase15.stp,422250,1,762659,38318,6.47,0.61,5.37,0.03,0.01,1525686,4120,1111,2421,759842,38318
netcard,195730,97805,802919,39,51.22,1.02,49.44,0.03,0.01,1607033,2156,441,416,802293,39
sort1024.r,1024,1024,2773507,2661,26.94,5.25,18.88,0.16,0.32,5576651,160082,96703,155588,2590921,2557
mult512.r,1024,1024,2905935,4961,25.71,5.39,16.66,0.31,0.98,5886215,528717,228592,575308,2440691,5026
sort2048.r,2048,2048,10769494,5528,105.62,20.78,72.32,0.77,1.76,21588386,870900,527530,923130,9947160,5118
mult1024.r,2048,2048,11695025,9917,103.50,21.36,65.97,1.51,4.77,23497268,2411471,834538,4706907,9752299,10011
sixteen,117,50,16216836,140,212.38,19.32,161.79,0.59,10.04,32466324,75797,33053,20008,16182939,140
twenty,137,60,20732893,162,280.07,24.76,214.43,0.74,13.52,41504914,91554,39681,23674,20692194,162
twentythree,153,68,23339737,176,329.35,27.93,254.80,0.83,15.46,46721762,97658,42543,25253,23296158,176
sort4096.r,4096,4096,41920515,13924,428.07,86.80,285.58,3.28,10.74,83933452,4791000,2601237,4108806,37803954,11057
