design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.47,0.13,0.26,0.00,0.02,56645,13948,5176,3520,19441,5058
mult64.r,128,128,44657,605,0.81,0.23,0.48,0.01,0.03,91636,18403,4660,9941,33817,583
mult128.r,256,256,181241,1187,3.21,0.96,1.94,0.03,0.12,381319,76967,19413,39604,136511,1160
hyp,256,128,214335,24801,3.43,0.93,2.30,0.01,0.00,428729,280,59,26,214274,24801
mult256.r,512,512,724133,2377,13.32,3.74,8.37,0.12,0.50,1505973,289488,74237,159323,549942,2279
testcase15.stp,422250,1,762659,38318,18.18,1.17,2.21,13.85,12.36,1580642,173074,53722,9941,540383,38285
netcard,195730,97805,802919,39,15.47,1.69,5.60,0.15,7.27,1609439,309763,98123,383,520658,38
sort1024.r,1024,1024,2773507,2661,52.32,9.55,38.19,0.47,1.71,5944624,872153,262041,376281,2094491,2150
mult512.r,1024,1024,2905935,4961,58.39,15.30,38.03,0.50,2.10,6026951,1106661,298408,618453,2217175,4984
sort2048.r,2048,2048,10769494,5528,216.96,37.45,160.43,1.70,6.95,23153569,3584748,1153125,1590604,8382466,4095
mult1024.r,2048,2048,11695025,9917,254.18,63.05,168.76,2.28,9.75,24018705,4953447,1251445,2734325,8777368,9511
sixteen,117,50,16216836,140,1047.75,45.80,263.40,4.93,715.41,36422757,16055077,4000609,187701,12178484,109
twenty,137,60,20732893,162,1453.75,59.83,373.65,7.52,989.34,46614874,23578298,5162153,220482,15512458,111
twentythree,153,68,23339737,176,1750.38,66.37,427.04,8.12,1222.86,52556619,27669588,5890294,243449,17374403,129
sort4096.r,4096,4096,41920515,13924,952.99,151.96,720.58,6.75,29.12,89201796,13970351,4607797,5193892,33544600,8191
