design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.14,0.01,0.11,0.00,0.00,51907,3607,932,23685,5058
mult64.r,128,128,44657,605,2.02,0.07,1.91,0.00,0.01,88410,7903,2036,40720,603
mult128.r,256,256,181241,1187,7.68,0.27,7.23,0.02,0.05,367358,29218,7704,167489,1187
hyp,256,128,214335,24801,21.04,0.55,20.31,0.01,0.02,428718,9424,1992,212341,24801
mult256.r,512,512,724133,2377,36.62,1.17,34.57,0.07,0.20,1457726,108802,31086,665965,2376
testcase15.stp,422250,1,762659,38318,6.74,0.80,5.02,0.09,0.33,1538862,244765,54555,685071,38306
netcard,195730,97805,802919,39,14.50,0.39,2.96,0.11,10.30,1606368,403986,97604,616048,39
sort1024.r,1024,1024,2773507,2661,70.74,5.19,62.67,0.11,0.05,5552875,11518,10606,2752699,2661
mult512.r,1024,1024,2905935,4961,121.35,4.72,113.10,0.24,0.65,5802775,369902,104603,2733093,4961
sort2048.r,2048,2048,10769494,5528,264.42,20.73,231.43,0.42,0.35,21538988,83437,83436,10602622,5459
mult1024.r,2048,2048,11695025,9917,542.15,20.19,505.67,1.12,3.99,23134218,2058415,533876,10649104,9915
sixteen,117,50,16216836,140,784.49,21.61,188.47,3.39,551.86,33427979,7027455,994562,13474430,118
twenty,137,60,20732893,162,1079.07,27.89,240.36,4.95,780.96,42796481,10674934,1330536,17027031,117
twentythree,153,68,23339737,176,1301.27,31.22,269.93,5.79,966.12,48216474,12818176,1537041,19069737,131
sort4096.r,4096,4096,41920515,13924,2122.78,123.31,1949.36,1.50,0.45,83841030,167690,83845,41752825,13924
