design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.23,0.05,0.15,0.00,0.01,54184,7881,2926,21691,5058
mult64.r,128,128,44657,605,0.45,0.09,0.32,0.01,0.01,89891,8572,3332,37000,607
mult128.r,256,256,181241,1187,1.61,0.35,1.05,0.02,0.07,367081,32404,13329,150574,1188
hyp,256,128,214335,24801,1.58,0.36,1.02,0.01,0.03,430979,17563,5028,209285,24801
mult256.r,512,512,724133,2377,6.48,1.40,4.18,0.08,0.23,1454459,108792,48056,613914,2377
testcase15.stp,422250,1,762659,38318,6.68,0.65,5.51,0.03,0.01,1525686,4118,1111,759842,38318
netcard,195730,97805,802919,39,54.88,1.11,52.98,0.03,0.01,1607033,2093,441,802293,39
sort1024.r,1024,1024,2773507,2661,27.77,5.62,19.26,0.16,0.36,5576651,159879,96703,2590921,2557
mult512.r,1024,1024,2905935,4961,26.99,5.81,17.31,0.32,1.10,5886215,515946,228592,2440691,5026
sort2048.r,2048,2048,10769494,5528,110.30,22.46,74.80,0.78,2.02,21588386,869879,527530,9947160,5118
mult1024.r,2048,2048,11695025,9917,108.53,23.36,68.26,1.52,5.22,23497268,2167670,834538,9752299,10011
sixteen,117,50,16216836,140,227.36,20.89,174.09,0.61,10.10,32466324,75305,33053,16182939,140
twenty,137,60,20732893,162,304.33,27.09,234.68,0.76,13.76,41504914,90915,39681,20692194,162
twentythree,153,68,23339737,176,356.72,30.64,277.69,0.86,15.76,46721762,97017,42543,23296158,176
sort4096.r,4096,4096,41920515,13924,464.04,100.54,304.36,3.75,12.02,83933452,4790591,2601237,37803954,11057
