design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.61,0.19,0.31,0.01,0.05,62975,28740,8802,19877,5058
mult64.r,128,128,44657,605,0.92,0.28,0.51,0.01,0.05,94504,31667,7171,33890,569
mult128.r,256,256,181241,1187,3.73,1.14,2.14,0.05,0.22,401413,131716,29944,136669,1174
hyp,256,128,214335,24801,4.53,1.32,2.74,0.06,0.23,473057,147328,38618,214252,24803
mult256.r,512,512,724133,2377,15.72,4.44,9.70,0.19,0.83,1580474,473886,113160,544084,2263
testcase15.stp,422250,1,762659,38318,69.48,1.59,2.55,64.02,54.98,1657526,2440714,122339,575413,38285
netcard,195730,97805,802919,39,22.72,2.91,6.47,0.45,12.41,1811256,1290108,284135,520885,39
sort1024.r,1024,1024,2773507,2661,54.93,10.78,38.33,0.80,2.88,6337433,1595027,451187,2319056,2659
mult512.r,1024,1024,2905935,4961,67.84,18.26,43.05,0.77,3.45,6185987,1849464,441970,2193327,4760
sort2048.r,2048,2048,10769494,5528,236.16,41.32,171.76,2.59,10.65,24393667,5314824,1617859,8843511,4914
mult1024.r,2048,2048,11695025,9917,291.36,73.98,188.91,3.28,15.66,24719173,8184947,1864483,8799842,9305
sixteen,117,50,16216836,140,1900.13,89.41,292.76,293.38,1492.13,49383327,84578026,11373873,12401182,104
twenty,137,60,20732893,162,2431.71,114.25,398.90,231.50,1884.94,62584889,112069146,14493682,15802657,110
twentythree,153,68,23339737,176,2906.22,129.89,470.28,231.95,2267.69,70248618,125942573,16241612,17722222,128
sort4096.r,4096,4096,41920515,13924,1043.95,170.15,778.27,11.16,43.25,92488589,18893803,5878166,34800230,10237
