design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.55,0.16,0.27,0.03,0.06,132784,849864,8802,19877,5058
mult64.r,128,128,44657,605,1.36,0.29,0.50,0.45,0.49,1831734,3412809,7247,33951,569
mult128.r,256,256,181241,1187,5.11,1.20,2.00,1.61,1.77,4957276,11014249,30068,136848,1173
hyp,256,128,214335,24801,1948.82,1.49,3.32,1943.58,1943.81,798917,49665315279,38618,214252,24803
mult256.r,512,512,724133,2377,37.58,4.59,8.96,22.76,23.42,71158039,118505030,115702,542002,2263
testcase15.stp,422250,1,762659,38318,5.75,1.52,2.35,0.93,1.41,2034326,14464022,112325,554023,38286
netcard,195730,97805,802919,39,75.62,3.19,7.24,52.42,64.47,2248980,2272119590,284126,520900,39
sort1024.r,1024,1024,2773507,2661,60.06,11.39,38.05,6.26,8.40,58805222,19885689,488557,2364905,2660
mult512.r,1024,1024,2905935,4961,467.24,18.63,41.32,402.27,404.97,1255451060,1951510120,436870,2198215,4775
sort2048.r,2048,2048,10769494,5528,2630.48,47.26,187.17,2376.14,2386.34,13290434573,7812053624,1785955,9011609,5118
mult1024.r,2048,2048,11695025,9917,3562.60,76.90,183.74,3279.10,3292.15,8239746201,16264017929,1885295,8820543,9305
sixteen,117,50,16216836,140,8388.91,99.63,323.20,6670.88,7945.32,127414288,51426678768,11520351,12348905,103
twenty,137,60,20732893,162,12439.20,129.91,459.50,10064.15,11824.41,201329709,77885452481,14660668,15739404,109
twentythree,153,68,23339737,176,16305.14,146.41,512.58,13447.69,15615.07,240141168,98911327441,16436334,17652711,126
sort4096.r,4096,4096,41920515,13924,58481.96,199.69,850.60,57348.78,57390.91,204262081455,345804452052,6212214,35384691,10441
