design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.14,0.01,0.10,0.01,0.01,106241,145387,932,23685,5058
mult64.r,128,128,44657,605,1.97,0.07,1.86,0.01,0.02,75847,47120,2036,40720,603
mult128.r,256,256,181241,1187,7.52,0.27,7.11,0.01,0.04,23761,173695,7704,167489,1187
hyp,256,128,214335,24801,21.59,0.57,20.90,0.01,0.02,46890,39853,1992,212341,24801
mult256.r,512,512,724133,2377,36.56,1.17,34.58,0.17,0.32,1123604,620471,31086,665965,2376
testcase15.stp,422250,1,762659,38318,6.77,0.83,5.13,0.16,0.40,857240,1636929,54555,685071,38306
netcard,195730,97805,802919,39,62.57,0.48,3.16,47.72,58.32,8889,2248131160,97604,616048,39
sort1024.r,1024,1024,2773507,2661,71.48,5.23,62.76,1.32,1.36,607510,13312036,10606,2752699,2661
mult512.r,1024,1024,2905935,4961,120.66,4.57,113.27,0.12,0.58,286881,1785233,104603,2733093,4961
sort2048.r,2048,2048,10769494,5528,320.58,20.76,232.47,57.83,58.16,542108968,333764,83436,10602622,5459
mult1024.r,2048,2048,11695025,9917,542.21,19.56,505.76,4.39,7.26,19843495,11826890,533876,10649104,9915
sixteen,117,50,16216836,140,3607.23,24.28,200.48,2787.49,3364.30,16518924,19611168799,994563,13474429,118
twenty,137,60,20732893,162,5421.69,31.36,255.91,4299.30,5111.76,27704213,29400870367,1330536,17027031,117
twentythree,153,68,23339737,176,6351.66,35.26,288.44,4991.11,6002.33,34005211,35729652021,1537041,19069737,131
sort4096.r,4096,4096,41920515,13924,2107.60,122.87,1945.11,1.14,1.50,3695389,6860140,83845,41752825,13924
