design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.24,0.05,0.16,0.01,0.02,109716,385674,2927,21690,5058
mult64.r,128,128,44657,605,0.53,0.09,0.32,0.09,0.09,651163,382137,3318,37027,605
mult128.r,256,256,181241,1187,2.38,0.36,1.09,0.80,0.84,2729801,5792511,13281,150798,1187
hyp,256,128,214335,24801,1.59,0.36,1.02,0.10,0.11,391311,937431,5149,209164,24801
mult256.r,512,512,724133,2377,10.09,1.49,4.32,3.63,3.80,22872439,12017688,48390,613352,2377
testcase15.stp,422250,1,762659,38318,6.79,0.68,5.71,0.00,0.01,3627,18508,1113,759842,38318
netcard,195730,97805,802919,39,52.77,1.12,51.04,0.00,0.01,24776,67712,445,802288,39
sort1024.r,1024,1024,2773507,2661,126.04,5.86,20.65,97.21,97.49,289211623,802167331,96800,2600824,2557
mult512.r,1024,1024,2905935,4961,64.26,5.98,17.96,37.34,38.14,194034555,115878148,231207,2436970,4961
sort2048.r,2048,2048,10769494,5528,1772.35,24.55,80.37,1656.11,1658.44,4165150234,11338276810,527287,9947622,5118
mult1024.r,2048,2048,11695025,9917,803.99,24.52,71.97,692.75,698.11,3943586787,1269945250,830154,9758835,9917
sixteen,117,50,16216836,140,222.65,22.36,172.36,0.19,10.73,81621,1173324,33058,16182945,140
twenty,137,60,20732893,162,313.74,28.93,247.91,0.28,14.62,103463,1390527,39717,20692168,162
twentythree,153,68,23339737,176,338.72,32.39,264.65,0.18,16.35,107636,1328405,42602,23296111,176
sort4096.r,4096,4096,41920515,13924,38833.94,103.51,313.83,38366.28,38378.96,120910253245,233344400966,2600421,37807215,11057
