design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.13,0.01,0.10,0.00,0.00,51096,3608,932,933,23685,5058
mult64.r,128,128,44657,605,1.93,0.06,1.83,0.00,0.01,92230,8482,2036,5942,40720,603
mult128.r,256,256,181241,1187,7.42,0.26,6.99,0.02,0.04,375236,30243,7704,21638,167489,1187
hyp,256,128,214335,24801,20.54,0.53,19.85,0.01,0.01,436582,9424,1992,5135,212341,24801
mult256.r,512,512,724133,2377,36.25,1.11,34.30,0.07,0.18,1493990,116658,31086,97177,665965,2376
testcase15.stp,422250,1,762659,38318,6.51,0.76,4.84,0.10,0.31,1861524,223985,54555,209155,685071,38306
netcard,195730,97805,802919,39,14.17,0.38,2.87,0.11,10.09,1622444,401824,97604,8458,616048,39
sort1024.r,1024,1024,2773507,2661,67.12,4.81,59.52,0.10,0.04,5547826,11518,10606,5757,2752699,2661
mult512.r,1024,1024,2905935,4961,117.77,4.26,109.99,0.24,0.64,5999962,369902,104603,269387,2733093,4961
sort2048.r,2048,2048,10769494,5528,250.79,18.69,219.94,0.48,0.38,21538988,83437,83436,83436,10602622,5459
mult1024.r,2048,2048,11695025,9917,530.81,18.43,496.47,1.15,3.69,24124678,2212281,533876,1569494,10649104,9915
sixteen,117,50,16216836,140,770.33,20.62,186.52,2.87,539.96,40136410,4860742,994562,3922373,13474430,118
twenty,137,60,20732893,162,1040.68,26.04,232.54,3.27,753.10,51954022,6591060,1330536,5325553,17027031,117
twentythree,153,68,23339737,176,1277.35,30.00,269.53,4.30,943.04,58930290,7680067,1537041,6214356,19069737,131
sort4096.r,4096,4096,41920515,13924,2074.82,110.11,1914.91,1.48,0.40,83841030,167690,83845,83845,41752825,13924
