design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.23,0.05,0.15,0.01,0.02,113464,7888,2927,4729,21690,5058
mult64.r,128,128,44657,605,0.48,0.09,0.30,0.06,0.07,477230,9093,3318,18914,37027,605
mult128.r,256,256,181241,1187,1.80,0.35,1.01,0.30,0.33,1983964,33123,13278,57699,150801,1187
hyp,256,128,214335,24801,1.48,0.34,0.96,0.04,0.05,644483,18292,5149,15246,209164,24801
mult256.r,512,512,724133,2377,8.93,1.38,4.04,2.77,2.90,15011091,117769,48390,165699,613352,2377
testcase15.stp,422250,1,762659,38318,6.60,0.65,5.44,0.04,0.01,1529169,4084,1111,2751,759842,38318
netcard,195730,97805,802919,39,52.22,1.10,50.35,0.04,0.01,1619417,2069,442,809,802291,39
sort1024.r,1024,1024,2773507,2661,67.81,5.61,19.41,40.05,40.23,191334646,179675,96800,192883,2600824,2557
mult512.r,1024,1024,2905935,4961,54.64,5.72,17.00,28.49,29.15,119831505,509256,227112,662690,2441065,4961
sort2048.r,2048,2048,10769494,5528,574.60,22.75,75.09,463.79,465.66,2111570339,869516,527287,967932,9947622,5118
mult1024.r,2048,2048,11695025,9917,665.53,22.65,65.85,561.05,565.22,2353200115,2299619,832556,5006387,9756433,9917
sixteen,117,50,16216836,140,207.48,20.08,157.03,0.61,9.80,32579176,74796,33053,51991,16182939,140
twenty,137,60,20732893,162,284.67,25.94,217.03,0.84,13.43,41645139,90261,39681,61803,20692194,162
twentythree,153,68,23339737,176,328.82,29.04,253.68,0.90,15.24,46868937,96353,42543,66421,23296158,176
sort4096.r,4096,4096,41920515,13924,11764.31,100.06,302.81,11304.89,11315.27,60553437893,4788143,2600421,4195916,37807215,11057
