design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.49,0.13,0.28,0.00,0.02,59662,12681,5176,8733,19441,5058
mult64.r,128,128,44657,605,0.81,0.23,0.48,0.01,0.03,99652,17829,4660,15602,33817,583
mult128.r,256,256,181241,1187,3.23,0.96,1.96,0.03,0.12,407772,73280,19399,63782,136427,1164
hyp,256,128,214335,24801,3.52,0.96,2.36,0.01,0.00,428960,280,59,171,214274,24801
mult256.r,512,512,724133,2377,13.38,3.77,8.39,0.12,0.48,1612902,277200,73714,250312,551090,2293
testcase15.stp,422250,1,762659,38318,4.28,1.18,2.12,0.06,0.35,1713490,159057,53722,104027,540383,38285
netcard,195730,97805,802919,39,15.66,1.73,5.67,0.15,7.35,1619926,307195,98123,7429,520658,38
sort1024.r,1024,1024,2773507,2661,52.10,9.62,37.96,0.39,1.62,5913498,819631,262041,559523,2094491,2150
mult512.r,1024,1024,2905935,4961,59.13,15.61,38.43,0.48,2.06,6512652,1050917,298448,983639,2216302,4960
sort2048.r,2048,2048,10769494,5528,215.53,37.29,159.37,1.44,6.60,22881330,3187130,1153125,2261775,8382466,4095
mult1024.r,2048,2048,11695025,9917,265.13,62.36,179.98,2.30,9.76,26228932,4792328,1254100,4279634,8769337,9511
sixteen,117,50,16216836,140,1039.37,46.61,264.46,3.89,703.95,40607906,8194914,4000609,4274818,12178484,109
twenty,137,60,20732893,162,1425.51,59.25,361.30,4.22,974.11,51964006,10539733,5162153,5469592,15512458,111
twentythree,153,68,23339737,176,1720.98,66.69,415.69,4.96,1203.76,58634984,12015961,5890294,6221204,17374403,129
sort4096.r,4096,4096,41920515,13924,948.56,151.41,718.71,5.40,27.84,88030012,12149347,4607797,7288383,33544600,8191
