design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.16,0.01,0.10,0.01,0.03,78410,24921,4726,14590,22808,5058
mult64.r,128,128,44657,605,1.94,0.07,1.83,0.01,0.02,102688,17889,3862,11172,40720,603
mult128.r,256,256,181241,1187,7.46,0.26,6.97,0.03,0.09,419010,69324,15477,43525,167489,1187
hyp,256,128,214335,24801,20.57,0.53,19.88,0.01,0.02,437634,10382,2259,5661,212449,24808
mult256.r,512,512,724133,2377,36.25,1.15,34.06,0.11,0.38,1668216,266199,61624,184290,665964,2376
testcase15.stp,422250,1,762659,38318,11.39,0.96,5.59,0.93,3.82,7747266,3608084,479989,3151358,581009,219
netcard,195730,97805,802919,39,23.90,0.39,2.93,0.40,19.60,3449346,1554358,329454,921940,615668,38
sort1024.r,1024,1024,2773507,2661,73.03,5.19,64.09,0.26,0.95,6172714,610742,115061,318002,2752699,2661
mult512.r,1024,1024,2905935,4961,119.90,4.42,111.07,0.41,1.45,6770560,1033964,242556,654686,2733093,4961
sort2048.r,2048,2048,10769494,5528,252.56,18.44,218.99,0.89,3.27,23434410,1955705,399546,1031148,10602620,5528
mult1024.r,2048,2048,11695025,9917,526.52,18.11,488.66,1.84,7.25,26886880,4682552,1015222,2950596,10649104,9915
sixteen,117,50,16216836,140,1201.93,21.03,185.92,6.39,971.18,65012490,19487922,3179542,16360815,13549672,107
twenty,137,60,20732893,162,1643.54,27.06,240.18,8.85,1342.99,83783738,25215183,4032798,21240122,17136276,105
twentythree,153,68,23339737,176,1983.60,30.71,272.89,9.99,1641.80,95361390,28973693,4606015,24428673,19206366,120
sort4096.r,4096,4096,41920515,13924,2077.23,108.05,1908.81,3.26,12.09,91712652,7368146,1423732,4019656,41752825,13924
