design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.22,0.05,0.15,0.01,0.01,113464,7888,2927,4729,21690,5058
mult64.r,128,128,44657,605,0.48,0.09,0.30,0.06,0.07,477230,9093,3318,18914,37027,605
mult128.r,256,256,181241,1187,1.82,0.35,1.02,0.30,0.33,1983964,33123,13278,57699,150801,1187
hyp,256,128,214335,24801,1.50,0.34,0.98,0.04,0.05,644483,18292,5149,15246,209164,24801
mult256.r,512,512,724133,2377,8.98,1.38,4.05,2.79,2.93,15011091,117769,48390,165699,613352,2377
testcase15.stp,422250,1,762659,38318,6.59,0.65,5.44,0.04,0.01,1529169,4084,1111,2751,759842,38318
netcard,195730,97805,802919,39,53.32,1.10,51.44,0.03,0.01,1619417,2069,442,809,802291,39
sort1024.r,1024,1024,2773507,2661,68.10,5.67,19.50,40.13,40.32,191334646,179675,96800,192883,2600824,2557
mult512.r,1024,1024,2905935,4961,55.62,6.26,16.94,28.97,29.66,119831505,509256,227112,662690,2441065,4961
sort2048.r,2048,2048,10769494,5528,567.22,22.30,74.01,457.99,459.75,2111570339,869516,527287,967932,9947622,5118
mult1024.r,2048,2048,11695025,9917,680.72,23.52,67.45,574.39,577.84,2353200115,2299619,832556,5006387,9756433,9917
sixteen,117,50,16216836,140,217.49,20.88,164.66,0.65,10.12,32579176,74796,33053,51991,16182939,140
twenty,137,60,20732893,162,288.44,26.10,220.68,0.79,13.63,41645139,90261,39681,61803,20692194,162
twentythree,153,68,23339737,176,327.99,29.26,253.03,0.88,15.21,46868937,96353,42543,66421,23296158,176
sort4096.r,4096,4096,41920515,13924,11933.09,101.07,304.85,11465.57,11479.30,60553437893,4788143,2600421,4195916,37807215,11057
