design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,reorder_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.52,0.15,0.26,0.01,0.04,74308,28577,8802,16549,19877,5058
mult64.r,128,128,44657,605,0.86,0.27,0.48,0.01,0.04,113506,30416,7173,22403,33887,568
mult128.r,256,256,181241,1187,3.63,1.12,2.13,0.05,0.19,464748,126267,29944,92768,136669,1175
hyp,256,128,214335,24801,4.21,1.29,2.50,0.05,0.21,563668,141863,38618,74471,214252,24803
mult256.r,512,512,724133,2377,14.28,4.33,8.45,0.17,0.76,1818966,467549,113194,361106,543262,2265
testcase15.stp,422250,1,762659,38318,5.22,1.56,2.33,0.13,0.64,1987936,377359,122339,241458,575413,38285
netcard,195730,97805,802919,39,21.97,2.85,6.08,0.36,12.03,2676964,1072216,284138,536561,520885,39
sort1024.r,1024,1024,2773507,2661,52.19,10.44,36.23,0.60,2.50,6535634,1532255,447338,979725,2313185,2660
mult512.r,1024,1024,2905935,4961,62.47,17.43,38.76,0.75,3.16,7271042,1785647,441969,1385377,2192947,4775
sort2048.r,2048,2048,10769494,5528,219.03,39.22,157.85,2.27,9.64,24233082,5188947,1617859,3292716,8843511,4914
mult1024.r,2048,2048,11695025,9917,261.97,70.52,164.65,2.89,13.84,29655586,7883827,1864485,5932067,8799839,9304
sixteen,117,50,16216836,140,1600.25,85.56,266.19,63.59,1221.12,75632958,38757378,11373873,22132004,12401180,104
twenty,137,60,20732893,162,2177.38,112.69,373.07,56.13,1655.05,97279982,49305804,14493683,28527486,15802657,110
twentythree,153,68,23339737,176,2627.48,123.25,439.97,65.96,2023.54,109519292,55309476,16241613,32109369,17722222,128
sort4096.r,4096,4096,41920515,13924,945.65,156.76,701.92,6.89,35.92,92255010,17720994,5878166,10237287,34800230,10237
