design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.20,0.01,0.10,0.07,0.07,106364,145387,932,23685,5058
mult64.r,128,128,44657,605,1.89,0.07,1.77,0.02,0.03,75990,47610,2036,40720,603
mult128.r,256,256,181241,1187,7.21,0.26,6.73,0.10,0.13,23773,173695,7704,167489,1187
hyp,256,128,214335,24801,20.74,0.55,19.78,0.30,0.31,46890,39853,1992,212341,24801
mult256.r,512,512,724133,2377,35.53,1.12,32.79,1.00,1.14,1123811,623887,31086,665965,2376
testcase15.stp,422250,1,762659,38318,38.83,0.79,4.79,32.54,32.84,857252,1636555,54555,685071,38306
netcard,195730,97805,802919,39,59.69,0.44,2.97,45.61,55.68,10716,2248127862,97604,616048,39
sort1024.r,1024,1024,2773507,2661,66.93,4.89,58.67,1.33,1.36,608313,13312036,10606,2752699,2661
mult512.r,1024,1024,2905935,4961,119.00,4.34,106.79,5.25,5.73,286881,1815291,104603,2733093,4961
sort2048.r,2048,2048,10769494,5528,295.89,18.96,216.84,50.93,51.24,542378445,333764,83436,10602622,5459
mult1024.r,2048,2048,11695025,9917,585.14,18.39,477.52,76.45,79.46,19845654,11949978,533876,10649104,9915
sixteen,117,50,16216836,140,3160.26,22.68,187.68,2391.75,2933.03,16519591,19596782031,994563,13474429,118
twenty,137,60,20732893,162,4821.00,28.79,233.94,3777.52,4535.97,27705227,29378208542,1330536,17027031,117
twentythree,153,68,23339737,176,5744.97,32.41,264.11,4482.62,5424.08,34006380,35707216473,1537041,19069737,131
