design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.41,0.05,0.15,0.20,0.21,109840,385549,2927,21690,5058
mult64.r,128,128,44657,605,0.50,0.08,0.31,0.08,0.09,745815,375795,3318,37027,605
mult128.r,256,256,181241,1187,2.14,0.34,1.02,0.66,0.69,3222053,5638886,13281,150798,1187
hyp,256,128,214335,24801,2.33,0.34,0.97,0.90,0.92,391567,937431,5149,209164,24801
mult256.r,512,512,724133,2377,9.69,1.42,4.09,3.55,3.71,24889969,10099131,48390,613352,2377
testcase15.stp,422250,1,762659,38318,6.67,0.63,5.39,0.26,0.26,3627,18508,1113,759842,38318
netcard,195730,97805,802919,39,50.36,1.07,48.70,0.00,0.01,26072,67665,445,802288,39
sort1024.r,1024,1024,2773507,2661,74.11,5.53,19.36,46.97,47.25,289322431,335993247,96800,2600824,2557
mult512.r,1024,1024,2905935,4961,62.24,5.65,16.77,36.91,37.70,199018337,88295800,231207,2436970,4961
sort2048.r,2048,2048,10769494,5528,1127.93,22.15,73.94,1021.32,1023.19,4166131962,8980240488,527287,9947622,5118
mult1024.r,2048,2048,11695025,9917,706.10,22.79,67.21,601.50,606.83,5141440061,1200885228,830154,9758835,9917
sixteen,117,50,16216836,140,207.51,21.15,159.49,0.24,10.00,81621,1169928,33058,16182945,140
twenty,137,60,20732893,162,279.25,26.10,217.00,0.36,13.88,103463,1387903,39717,20692168,162
twentythree,153,68,23339737,176,322.78,29.76,252.22,0.32,15.58,107636,1325469,42602,23296111,176
