design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,1.10,0.16,0.27,0.59,0.62,132968,846811,8802,19877,5058
mult64.r,128,128,44657,605,1.13,0.28,0.46,0.29,0.33,1873810,2657667,7247,33951,569
mult128.r,256,256,181241,1187,4.26,1.13,1.86,0.99,1.14,4959510,4688830,30068,136848,1173
hyp,256,128,214335,24801,28.77,1.34,2.72,24.36,24.55,799363,696181175,38618,214252,24803
mult256.r,512,512,724133,2377,26.38,4.45,8.26,12.52,13.14,71200758,45775131,115702,542002,2263
testcase15.stp,422250,1,762659,38318,72.76,1.58,2.65,67.47,68.05,2034359,14463638,112325,554023,38286
netcard,195730,97805,802919,39,71.51,3.08,6.75,49.23,61.01,2641692,2271307262,284126,520900,39
sort1024.r,1024,1024,2773507,2661,72.51,10.94,36.02,21.32,23.43,58806822,18979163,488557,2364905,2660
mult512.r,1024,1024,2905935,4961,341.34,18.19,39.53,278.66,281.29,1312687593,1568229434,436870,2198215,4775
sort2048.r,2048,2048,10769494,5528,2058.08,43.27,172.34,1823.05,1833.03,13292950782,7733907983,1785955,9011609,5118
mult1024.r,2048,2048,11695025,9917,2621.32,76.89,189.12,2331.43,2345.32,8251734082,11646233352,1885295,8820543,9305
sixteen,117,50,16216836,140,7252.24,94.61,289.26,5642.78,6849.79,127418647,51425506145,11520351,12348905,103
twenty,137,60,20732893,162,11028.59,122.53,398.13,8813.44,10483.38,201337858,77884128313,14660668,15739404,109
twentythree,153,68,23339737,176,14474.97,138.35,463.31,11805.83,13845.67,240150415,98910064067,16436334,17652711,126
sort4096.r,4096,4096,41920515,13924,48072.70,190.18,861.88,46934.98,46979.76,204282579022,341037532089,6212214,35384691,10441
